northboundVersion,/apiName,headers,httpMethod_api,endpoint_api,jsonBody,southboundVersion,southboundMethod,southBoundVersion_sb,methodName,queryParams,microService,operation,backendVersion,endpoint_sb,responseUnwrapMethod,httpMethod_sb
v21,Save Selected Plans,Session-Id;Accept-Version;Virgin-Device-Id,POST,plans/saved_plans/,"{ ""plan_ids"" : ""example"", ""product_code"" : ""example"", ""promotion_codes"" : ""example"", ""is_5g"" : true }",V11,post_saved_plans,V11,post_saved_plans,selectedSubscriptionTypeIDs;PromotionCodes;productCode;Is5G,Plans.svc,SaveSelected,V5,Plans.svc/V5/SaveSelected,parsed_key_results,POST
v22,Clear Plans,Session-Id;Accept-Version;Virgin-Device-Id,DELETE,plans/clear_plan_selection,,V11,clear_plans,V11,clear_plans,,Plans.svc,ClearSelectionPlan,V5,Plans.svc/V5/ClearSelectionPlan,parsed_key_results,POST
v22,register_device,Session-Id;Virgin-Device-Id;Accept-Version,POST,devices/,"{ ""token"" : ""example"", ""adid"" : ""example"", ""android_id"" : ""example"", ""gps_adid"" : ""example"", ""idfa"" : ""example"", ""idfv"" : ""example"", ""tracking_consent"" : true, ""adjust_data"" : ""example"", ""app_version"" : ""example"" }",V11,register_device,V11,register_device,Token,Device,Register,V3,Device/V3/Register,parsed_key_result3,POST
v19,block_unblock_sim,Session-Id;Virgin-Device-Id;Accept-Version,POST,sim/block_unblock_sim,"{ ""block"" : true, ""number"" : ""example"", ""otp"" : ""example"" }",V11,block_unblock_sim,V11,block_unblock_sim,MSISDN;block;OTP,SimReplacment,BlockSIM,V2,SimReplacment/V2/BlockSIM,parsed_key_result3,POST
v24,Offers List,Session-Id;Virgin-Device-Id;Accept-Version,GET,family/offers_list,number=example&product_code=example,V12,offers_list,V12,offers_list,MSISDN;productCodes,FamilyOffers,List,V2,FamilyOffers/V2/List,parsed_key_result3,GET
v24,all_countries_rate,Session-Id;Accept-Version;Virgin-Device-Id,GET,international/all_countries_rate,iso3_codes=example&if_modified_since=123,V12,all_countries_rate,V12,all_countries_rate,isoCodes,International,CountriesRates,V4,International/V4/CountriesRates,,GET
v24,all_countries_rate_with_zero_rates,Session-Id;Accept-Version;Virgin-Device-Id,GET,international/roaming_countries_with_zero_rates,iso3_codes=example&if_modified_since=123,V12,countries_for_zero_rates,V12,countries_for_zero_rates,isoCodes,International,CountriesForZeroRates,V4,International/V4/CountriesForZeroRates,,GET
v23,Check and Submit PACI,Session-Id;Virgin-Device-Id;Accept-Version,GET,paci/check_submit,civil_id=example&is_update=true,V12,check_submit,V12,check_submit,CivilID;IsUpdate,PACI,CheckAndSubmitPACI,V1,PACI/V1/CheckAndSubmitPACI,parsed_key_result3,GET
v23,OCR Data,Session-Id;Virgin-Device-Id;Accept-Version,POST,user_identy/ocr_data,"{ ""id_number"" : ""example"", ""id_type"" : 123, ""last_name"" : ""example"", ""first_name"" : ""example"", ""second_name"" : ""example"", ""third_name"" : ""example"", ""dob"" : ""example"", ""expiry_date"" : ""example"", ""gender"" : 123, ""signature"" : ""example"", ""nationality_id"" : ""example"", ""nationality_name"" : ""example"", ""paci_number"" : ""example"", ""contact_number"" : ""example"", ""is_update"" : true }",V12,ocr_data,V12,ocr_data,IDNumber;IDType;LastName;FirstName;SecondName;ThirdName;DateOfBirth;ExpiryDate;Gender;NationalityID;NationalityName;PACINumber;ContactNumber;IsUpdate,UserIdentity,OCRData,V1,UserIdentity/V1/OCRData,parsed_key_result3,POST
v25,family_postpaid_eligibility,Session-Id;Virgin-Device-Id;Accept-Version,POST,family/eligible_for_postpaid,"{ ""number"" : ""example"", ""plan_code"" : ""example"", ""first_name"" : ""example"", ""last_name"" : ""example"", ""date_of_birth"" : ""example"", ""marital_status"" : ""example"", ""gender"" : ""example"", ""residence"" : ""example"", ""nationality"" : ""example"", ""phone_number"" : ""example"" }",V13,is_eligible_for_postpaid,V13,is_eligible_for_postpaid,MSISDN;PPLCode;FirstName;LastName;DateOfBirth;MaritalStatus;Gender;Residence;Nationality;PhoneNumber,FamilyCheckEligibility,IsEligibleForPostpaid,V1,FamilyCheckEligibility/V1/IsEligibleForPostpaid,parsed_key_result3,POST
